danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.777,0.871,7,-5.588,1,0.236,0.00998,0.0,0.366,0.624,140.098,audio_features,48F4fY1pKOTWN1H8q99dJE,spotify:track:48F4fY1pKOTWN1H8q99dJE,https://api.spotify.com/v1/tracks/48F4fY1pKOTWN1H8q99dJE,https://api.spotify.com/v1/audio-analysis/48F4fY1pKOTWN1H8q99dJE,273973,4
0.789,0.881,11,-5.758,1,0.0331,0.109,0.0,0.355,0.647,133.299,audio_features,5MYFw4T2gy52pOGBN4EYHS,spotify:track:5MYFw4T2gy52pOGBN4EYHS,https://api.spotify.com/v1/tracks/5MYFw4T2gy52pOGBN4EYHS,https://api.spotify.com/v1/audio-analysis/5MYFw4T2gy52pOGBN4EYHS,236600,4
0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,audio_features,0I3q5fE6wg7LIfHGngUTnV,spotify:track:0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,270507,4
0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,audio_features,1IAzD1muglOxOcPbUHs70R,spotify:track:1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/tracks/1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/audio-analysis/1IAzD1muglOxOcPbUHs70R,249533,4
0.772,0.724,6,-5.799,0,0.307,0.0149,0.0,0.355,0.518,84.038,audio_features,5TpaWJKnuyA4MjzAbFXSTQ,spotify:track:5TpaWJKnuyA4MjzAbFXSTQ,https://api.spotify.com/v1/tracks/5TpaWJKnuyA4MjzAbFXSTQ,https://api.spotify.com/v1/audio-analysis/5TpaWJKnuyA4MjzAbFXSTQ,298600,4
0.876,0.573,0,-3.764,1,0.431,0.294,0.0,0.121,0.756,92.236,audio_features,4FI0rdztOAYJZMupujL5Gp,spotify:track:4FI0rdztOAYJZMupujL5Gp,https://api.spotify.com/v1/tracks/4FI0rdztOAYJZMupujL5Gp,https://api.spotify.com/v1/audio-analysis/4FI0rdztOAYJZMupujL5Gp,205453,4
0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,audio_features,6epn3r7S14KUqlReYr77hA,spotify:track:6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/audio-analysis/6epn3r7S14KUqlReYr77hA,214240,4
0.611,0.459,0,-3.926,0,0.0422,0.614,0.0,0.126,0.177,148.28,audio_features,0oPOuDmmkVp3h6puekhs6P,spotify:track:0oPOuDmmkVp3h6puekhs6P,https://api.spotify.com/v1/tracks/0oPOuDmmkVp3h6puekhs6P,https://api.spotify.com/v1/audio-analysis/0oPOuDmmkVp3h6puekhs6P,213878,4
0.849,0.476,0,-10.479,1,0.445,0.0965,0.0,0.105,0.48,83.21,audio_features,5wvxRlpUTSX9CE52yFZsIY,spotify:track:5wvxRlpUTSX9CE52yFZsIY,https://api.spotify.com/v1/tracks/5wvxRlpUTSX9CE52yFZsIY,https://api.spotify.com/v1/audio-analysis/5wvxRlpUTSX9CE52yFZsIY,277133,4
0.575,0.523,2,-10.002,0,0.506,0.489,0.0,0.0873,0.616,78.252,audio_features,3q8Uyfo98yoEqByamJOIkJ,spotify:track:3q8Uyfo98yoEqByamJOIkJ,https://api.spotify.com/v1/tracks/3q8Uyfo98yoEqByamJOIkJ,https://api.spotify.com/v1/audio-analysis/3q8Uyfo98yoEqByamJOIkJ,218597,4
0.704,0.521,1,-9.361,1,0.273,0.157,0.00164,0.0975,0.546,144.084,audio_features,6PDiL8QLrNj1Bi85vkZTcK,spotify:track:6PDiL8QLrNj1Bi85vkZTcK,https://api.spotify.com/v1/tracks/6PDiL8QLrNj1Bi85vkZTcK,https://api.spotify.com/v1/audio-analysis/6PDiL8QLrNj1Bi85vkZTcK,200016,4
0.859,0.622,1,-6.677,1,0.177,0.0294,0.0,0.341,0.395,146.003,audio_features,3fGF2eP79xeu2ABvSSfMXl,spotify:track:3fGF2eP79xeu2ABvSSfMXl,https://api.spotify.com/v1/tracks/3fGF2eP79xeu2ABvSSfMXl,https://api.spotify.com/v1/audio-analysis/3fGF2eP79xeu2ABvSSfMXl,105360,4
0.879,0.498,4,-6.027,0,0.18,0.239,0.0,0.0967,0.405,106.044,audio_features,4EivmOT13NMpNSfTKn9p4s,spotify:track:4EivmOT13NMpNSfTKn9p4s,https://api.spotify.com/v1/tracks/4EivmOT13NMpNSfTKn9p4s,https://api.spotify.com/v1/audio-analysis/4EivmOT13NMpNSfTKn9p4s,163173,4
0.718,0.628,0,-5.334,1,0.373,0.0884,0.0,0.186,0.771,139.769,audio_features,6pmNoWKk0r6zfIjWneJRxR,spotify:track:6pmNoWKk0r6zfIjWneJRxR,https://api.spotify.com/v1/tracks/6pmNoWKk0r6zfIjWneJRxR,https://api.spotify.com/v1/audio-analysis/6pmNoWKk0r6zfIjWneJRxR,154433,4
0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,audio_features,2BcMwX1MPV6ZHP4tUT9uq6,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,242966,4
0.416,0.824,1,-3.075,1,0.343,0.00391,0.0,0.104,0.417,85.433,audio_features,0q7LGcVSpsIoSbjChtZ8lI,spotify:track:0q7LGcVSpsIoSbjChtZ8lI,https://api.spotify.com/v1/tracks/0q7LGcVSpsIoSbjChtZ8lI,https://api.spotify.com/v1/audio-analysis/0q7LGcVSpsIoSbjChtZ8lI,382262,5
